index,Name of Project,Location,Source of Funds,% WT Actual,% WT Plan,Slippage,Contract Amount,No. of Days,Date Started,Target Date of Completion,Date Completed,Project Engineer,Implementor,Remarks,Report Date,Month,Year,Project Engineer/Site Engineer
2018-04-01,Concreting of Jct. Nhwy. New Ilo-ilo-Libas Road,Tantangan,CY 2017 20% LDF,100,100,0,14928976.74,150,9/14/17,3/27/18,3/27/18,A BARRIENTOS,FREDEN CONSTRUCTION,Completed,2018-04-01,April,2018,
2018-04-01,"Fencing of APP Center @ PVET, Brgy. Tinongcop",Tantangan,CY 2017 20% LDF,56.31,66.3,-9.99,4994185.24,90,12/20/17,3/19/18,,A BARRIENTOS,FH GOPITEO CONST. & SUPPLY,Suspended due to relocation of boundaries,2018-04-01,April,2018,
2018-04-01,Rehabilitation of Albagan Road,Tampakan,,49.37,50.64,-1.27,5986721.47,100,9/26/17,2/2/18,,A BARRIENTOS,JAMI CONST. & SUPPLY,"Project suspended as of Jan. 15, 2017, due to unpassable road before project site.",2018-04-01,April,2018,
2018-04-01,Const. of Albagan Gym with Stage,Tampakan,CY 2017 20% LDF,62.09,75.19,-13.1,4033389.66,140,11/28/17,4/16/18,,A BARRIENTOS,JAMI CONST. & SUPPLY,On-going; Time extension is on process.,2018-04-01,April,2018,
2018-04-01,"Const. of Salway Box Culvert, Brgy. Tablu",Tampakan,9999-Non-Office 5% CF,16.45,61.29,-44.84,2987473.44,135,12/26/17,5/9/18,,A BARRIENTOS,MFN BUILDERS,On-going,2018-04-01,April,2018,
2018-04-01,"Const. of Day Care Center, Brgy. Poblacion",Tampakan,CY 2017 20% LDF,83.64,100,-16.36,1190000,60,12/19/17,3/18/18,,A BARRIENTOS,"ISULAN ECT CONST. & GEN. MDSE., INC.",On-going,2018-04-01,April,2018,
2018-04-01,"Improvement of Facilities @ Provincial Scion Grove, Nursery & Demo Farm: Const. of 800m Perimeter",Banga,CY 2017 20% LDF,100,100,0,4935544.56,150,8/29/17,3/26/18,3/26/18,MJ Dauz,TRIPLE Z MDSG. & ELECTRICAL SERVICES,Completed,2018-04-01,April,2018,
2018-04-01,"Establishment of Greenhouse for Organic Vegetables Production @ Provincial Grove, Nursery & Demo Farm, Sitio Pedregosa, Brgy. Reyes",Banga,CY 2017 20% LDF 8.7.1.2,77.05,100,-22.95,264308.97,40,9/28/17,11/6/17,,MJ Dauz,TRIPLE Z MDSG. & ELECTRICAL SERVICES,On-going; no activity,2018-04-01,April,2018,
2018-04-01,"Establishment of Nursery for Organic Vegetables Production @ Provincial Grove, Nursery & Demo Farm, Sitio Pedregosa, Brgy. Reyes",Banga,CY 2017 20% LDF 8.7.1.1,75.58,100,-24.42,288485.65,40,9/28/17,11/6/17,,MJ Dauz,TRIPLE Z MDSG. & ELECTRICAL SERVICES,On-going,2018-04-01,April,2018,
2018-04-01,Inst. Of Lined Canal along Rang-ay-Lamba Road,Banga,CY 2017 20% LDF,95.44,100,-4.56,1515778.02,70,9/24/17,4/20/18,,MJ Dauz,DAVAO SANTHONY BUILDERS CORP.,On going,2018-04-01,April,2018,
2018-04-01,"Renovation-Repair of Training Center @ Provincial Scion Grove, Nursery & Demo Farm",Banga,CY 2017 20% LDF,95.01,100,-4.99,1761935.91,100,11/5/17,3/4/18,,MJ Dauz,TRIPLE Z MDSG. & ELECTRICAL SERVICES,On-going,2018-04-01,April,2018,
2018-04-01,Concreting of Lambingi-Lampari Road,Banga,CY 2017 20% LDF,22.54,30.49,-7.95,11988000,140,1/18/18,6/6/18,,MJ Dauz,FREDEN CONSTRUCTION,On-going; contractor submitted revised PERT/CPM,2018-04-01,April,2018,
2018-04-01,Const. of Riverbank Protection (Indigenous Materials) & Rechanelling of Waterway @ Brgy. San Miguel,Norala,SEF-212-11.1a,0.53,3.75,-3.22,2692684.72,60,11/1/16,12/30/16,,A SOBREVEGA,ROCKSTONE CONST. SERVICES & SUPPLY,"This project is still suspended as of November 23, 2016 due to water way problem & revision of plans.",2018-04-01,April,2018,
2018-04-01,Conc. Of Poblacion-Simsiman-Matapol Road,Norala,CY 2015 20% LDF,96.99,100,-3.01,11438082.05,230,7/30/17,3/16/18,,A SOBREVEGA,RN BUILDERS & GEN. MDSE.,"On-going; project expired last Apr. 11, 2018",2018-04-01,April,2018,
2018-04-01,Conc. Of Jct. Lopez Jaena-Puti Road,Norala,CY 2017 20% LDF,87.53,92.52,-4.99,14992780.22,125,11/8/17,4/11/18,,A SOBREVEGA,RN BUILDERS & GEN. MDSE.,On-going; Time extension is on process.,2018-04-01,April,2018,
2018-04-01,Rehabilitation of NDH Water System,Norala,CY 2017 20% LDF,1.48,19.19,-17.71,375786.23,40,12/21/17,1/29/18,,A SOBREVEGA,ROCKSTONE CONST. SERVICES & SUPPLY,"Suspended as of January 9, 2018 due to revision of plan approved  original plan is not suitable on site.",2018-04-01,April,2018,
2018-04-01,Renovation of Lapuz Brgy. Hall,Norala,CY 2017 20% LDF,82.71,100,-17.29,1319000,60,12/19/17,2/16/18,,A SOBREVEGA,"ISULAN ECT CONST. & GEN. MDSE., INC.","This project was already expired last March 9, 2018; Subject for liquidated damages",2018-04-01,April,2018,
2018-04-01,Completion of Gym @ Brgy. Tinago,Norala,CY 2018 CONT. APPROP. GF #318,39.42,47.75,-8.33,993609.25,60,3/25/18,5/23/18,,A SOBREVEGA,THREE G BUILDERS,On-going,2018-04-01,April,2018,
2018-04-01,Rehabilitation of Puti Water System,Norala,CY 2018 CONT. APPROP. GF #,0,0.31,-0.31,1962026.71,100,4/8/18,7/16/18,,A SOBREVEGA,ROCKSTONE CONST. SERVICES & SUPPLY,On-going,2018-04-01,April,2018,
2018-04-01,Conc. Of Provincial Road Lapus to Brgy. Liberty,Norala,CY 2018 CONT. APPROP. GF #75,6.8,11.17,-4.37,17240000,125,3/29/18,7/31/18,,A SOBREVEGA,FREDEN CONSTRUCTION,On-going,2018-04-01,April,2018,
2018-04-01,"Const. of Stage & Bleacher, Brgy. Plaza, Sajaneba",Sto. Niño,CY 2017 20% LDF,88.06,71.25,16.81,1994000,120,1/18/18,5/17/18,,ME Dondiego,FREDEN CONSTRUCTION,On-going,2018-04-01,April,2018,
2018-04-01,Construction of Naci Bridge,Surallah,CY 2015 20% LDF,95.75,100,-4.25,24830790.34,345,1/21/16,12/30/16,,MJ Dauz,CS CONSTRUCTION & SUPPLY,On-going; the contractor has committed to finish the project despite the liquidated damages incurred,2018-04-01,April,2018,
2018-04-01,Conc. Of Modon-Upper Sepaka Road,Surallah,CY 2017 20% LDF,100,100,0,9970794.4,110,11/8/17,2/25/18,,ME Dondiego,MFN BUILDERS,Completed,2018-04-01,April,2018,
2018-04-01,"Const. of 2-Storey Barangay Hall, Brgy. Little Baguio",Surallah,CY 2017 20% LDF,36.86,89.18,-52.32,2989004.51,105,1/18/18,5/2/18,,ME Dondiego,NIRVANA CONST. & SUPPLIES,On-going,2018-04-01,April,2018,
2018-04-01,Concreting of Tubi-ala Lambontong Road part. Approaching to Malomboy Bridge,Surallah,CY 2017 20% LDF,23.33,83.58,-60.25,8494519.47,125,1/2/18,5/6/18,,ME Dondiego,HEXAMINDZ CORPORATION,On-going,2018-04-01,April,2018,
2018-04-01,Const. of Box Culvert along Tubi-ala-Lambontong Road,Surallah,2016 PDRRMF-IP,0.13,0.13,0,2990518.48,125,4/19/18,8/21/18,,ME Dondiego,FH GOPITEO CONST. & SUPPLY,On-going,2018-04-01,April,2018,
2018-04-01,Consreting of Halilan Road,Lake Sebu,CY 2017 20% LDF,48.68,71.6,-22.92,9980267.35,125,1/18/18,5/22/18,,A SOBREVEGA,ROCKSTONE CONST. SERVICES & SUPPLY,On-going,2018-04-01,April,2018,
2018-04-01,Construction of Stage. Brgy. Bacdulong,Lake Sebu,CY 2016 PDRMMF-IP,100,100,0,911110.26,90,1/11/18,4/10/18,4/10/18,A SOBREVEGA,KING BUILDERS CONST. & SUPPLY,Completed,2018-04-01,April,2018,
2018-04-01,Const. of Erosion Control @ Hanoon ES,Lake Sebu,2017 Truct Fund PDRRMO,0,3.41,-3.41,3992761.71,90,4/10/18,7/8/18,,A SOBREVEGA,NIRVANA CONST. & SUPPLIES,On-going,2018-04-01,April,2018,
2018-04-01,Conc. Of New Dumangas Road (Leading to Ressetlement Area),T'boli,CY 2017 20% LDF,85.07,100,-14.93,4992486.84,85,11/9/17,2/1/18,,MJ Dauz,ROCKSTONE CONST. SERVICES & SUPPLY,On-going,2018-04-01,April,2018,
2018-04-01,"Const. of Bridge @ New Dumangas, T'boli-Sitio Roxas",T'boli,CY 2016 CONT. APPROP.,51.94,69.37,-17.43,24961302.94,265,6/25/17,3/16/18,,ME Dondiego,FREDEN CONSTRUCTION,On-going,2018-04-01,April,2018,
2018-04-01,Conc. Of Road Leading to Bakngeb underground River,T'boli,CY 2017 20% LDF,16.05,32.34,-16.29,4995579.03,80,12/25/17,3/14/18,,MJ Dauz,JAMI CONST. & SUPPLY,"Suspended as of Mar. 2, 2018 due to problem with the ROW from Sta. 0+000-Sta. 0+100",2018-04-01,April,2018,
2018-04-01,Concreting of Datal D'lanag-Tudok Road,T'boli,2018 Cont. Appropriation GF #239,0.12,0.09,0.03,19990000,180,4/22/18,10/18/18,,MJ Dauz,FREDEN CONSTRUCTION,On-going,2018-04-01,April,2018,
2018-04-01,Completion of Brgy. Hall @ Brgy. Talcon,T'boli,CY 2017 20% LDF,17.22,11,6.22,642138.71,50,4/2/18,5/20/18,,A. DEMETILLO,KING BUILDERS CONST. & SUPPLY,On-going,2018-04-01,April,2018,
2018-05-01,Construction of Lined Canal Along Upper Klinan - Cannery Rd,Polomolok,CY 2017 CONST. APPROP.,82.57,55.71,26.86,4434321.22,195,1/23/18,8/5/18,,CJ HICBAN,"UNIFIED WORKERS CONST. & DEVELOPMENT MPC, INC.",On-going,2018-05-01,May,2018,
2018-05-01,"Const. of Day Care Center Prk. Faustino, Brgy. Pob",Polomolok,,53.41,56.57,-3.16,1192955.89,75,3/27/18,6/10/18,,A. DEMETILLO,JAMI CONST. & SUPPLY,On-going,2018-05-01,May,2018,
2018-05-01,Construction of Sitio El Nama Bridge,Tupi,CY 2016 CONT APPROP. #182-GF,80.01,100,-19.99,4904647.08,220,6/12/16,1/17/17,,A. DEMETILLO,CS CONSTRUCTION & SUPPLY,On-going,2018-05-01,May,2018,
2018-05-01,"Const. of 2-Storey Barangay Hall, Brgy. Kablon",Tupi,CY 2017 20% LDF,96.56,100,-3.44,2980507.19,105,1/18/18,5/2/18,,A DEMETILLO,FREDEN CONSTRUCTION,On-going,2018-05-01,May,2018,
2018-05-01,"Construction of Water System, Acmonan",Tupi,CY 2017 20% LDF,42.79,15.44,27.35,1495000,90,4/19/18,7/17/18,,A DEMETILLO,FREDEN CONSTRUCTION,On-going,2018-05-01,May,2018,
2018-05-01,Upgrading of Cacub to Palo 19 Road,Koronadal-Tampakan,CY 2016CONT. APPROP. #194-GF,90.02,100,-9.98,9769932.04,180,7/26/16,5/21/18,,E SOLATORIO,KING BUILDERS CONST. & SUPPLY,On-going,2018-05-01,May,2018,
2018-05-01,"Refurbishing & Improvement of Provincial Pre-Audit Div. Office, Finance Bldg.",Koronadal City,CY 2016 CONST. APPROP. #228-GF,58.24,51.99,6.25,1041997.26,90,11/22/16,3/15/18,,E SOLATORIO,KING BUILDERS CONST. & SUPPLY,"Suspended as of Feb. 22, 2018 due to the request for revision of the approved plan by the Provincial Accountant",2018-05-01,May,2018,
2018-05-01,"Const. of Bukang Liwayway Bridge/Riverbank Protection, Prk. Artesian, Brgy. San Roque ",Koronadal City,CY 2016 20% LDF,46.66,34.18,12.48,15950503.14,320,12/5/16,12/23/17,,E SOLATORIO,REYDAN BUILDERS,"Suspended as of September 13, 2017 due to new waterway (under negotiation) and variation order",2018-05-01,May,2018,
2018-05-01,Const. of Box Culvert @ Brgy. Saravia,Koronadal City,9999-Non-Office 5% CF,100,100,0,2939820.87,155,11/30/17,5/3/18,5/3/18,E SOLATORIO,HVC SAGITTARIUS COMMERCIAL & CONST.,Completed,2018-05-01,May,2018,
2018-05-01,Replacement of SCGCC Roofing @ South Cotabato Gymnasium @ Cultural Center,Koronadal City,1011-SCGCC-SB#1,100,100,0,5974714.75,135,11/8/17,5/5/18,5/5/18,E SOLATORIO,TRIPLE Z MDSG. & ELECTRICAL SERVICES,Completed,2018-05-01,May,2018,
2018-05-01,"Furniture & Fixtures Fabrication of Deck-Type Beds for Female Inmates, South Cotabato Detention & Rehab. Center",Koronadal City,1012-SCRDC-1-07-07-010-SB#1,100,100,0,993495.69,45,1/10/18,5/29/18,5/24/18,E SOLATORIO,PASE CONSTRUCTION,Completed,2018-05-01,May,2018,
2018-05-01,Improvement of Electrical Facilities & Provision of power House @ Finance Bldg.,Koronadal City,1011-STAFF-999.32-IMPROV'T. OF BLDG. & ELECTRICAL FACILITIES,100,100,0,5429158.31,105,1/22/18,5/6/18,5/6/18,E SOLATORIO,ROCKSTONE CONST. SERVICES & SUPPLY,Completed,2018-05-01,May,2018,
2018-05-01,Completion of PDRR Operations Center & Warehouse @ PEO Compound,Koronadal City,999.4-SB#2-CPDRROCW,15.58,21,-5.42,1488317.54,70,4/8/18,6/16/18,,E SOLATORIO,ROCKSTONE CONST. SERVICES & SUPPLY,On-going,2018-05-01,May,2018,
2018-05-01,Purchase & Installation of Elevator (Includes Architectural Design and Elevator Shaft),Koronadal City,2018 CONT. APPROP. GF #133,0.56,0.06,0.5,9326531.86,130,5/21/18,9/30/18,,E SOLATORIO,ROYAL SUMMIT INFINITY DEV'T. CORP.,On-going,2018-05-01,May,2018,
2018-05-01,"Const. of SCRDC Addt'l. Bldg. for Female Inmates, Brgy. GPS",Koronadal City,CY 2017 CONT. APPROP.,96.16,100,-3.84,3994980.5,165,7/16/17,12/27/17,,CJ HICBAN,FREDEN CONSTRUCTION,"On-going; PROJECT EXPIRED last Dec. 27, 2017",2018-05-01,May,2018,
2018-05-01,Conc. Of Nhwy. to Brgy. Concepcion,Koronadal City,CY 2017 20% LDF,87.6,100,-12.4,5919451.68,75,11/28/17,3/17/18,,CJ HICBAN,BETTER WORK CONSTRUCTION,On-going; variation order is on process,2018-05-01,May,2018,
2018-05-01,Construction of 2nd Floor of the Student Dormitory,Koronadal City,CY 2018 Cont. APPROP. GF #211,10.31,39.88,-29.57,2989399.99,90,3/27/18,6/24/18,,CJ HICBAN,MARBEL DYNAMIC BUILDERS,On-going,2018-05-01,May,2018,
2018-05-01,"Const. of Materials Testing Quality Control Div. Bldg., PEO Compound",Koronadal City,PEO 8751-SB#1-P/P-999.2-CMTQCDB,100,100,0,1690372.86,70,1/18/18,5/27/18,5/27/18,Z TUMALA,MEGALINE BUILDERS & SUPPLY,Completed,2018-05-01,May,2018,
2018-05-01,Const. of Facilities in Evacuation Centers (Const. of Comfort Room & Kitchen),Tantangan,CY 2018 Cont. APPROP. GF #19,38.55,70.3,-31.75,1544000,75,3/29/18,6/11/18,,Z TUMALA,FREDEN CONSTRUCTION,On-going,2018-05-01,May,2018,
2018-05-01,"Fencing of APP Center @ PVET, Brgy. Tinongcop",Tantangan,CY 2017 20% LDF,100,100,0,4994185.24,90,12/20/17,5/23/18,5/23/18,A BARRIENTOS,FH GOPITEO CONST. & SUPPLY,Completed,2018-05-01,May,2018,
2018-05-01,Rehabilitation of Albagan Road,Tampakan,,49.37,50.64,-1.27,5986721.47,100,9/26/17,2/2/18,,A BARRIENTOS,JAMI CONST. & SUPPLY,"Project suspended as of Jan. 15, 2017, due to unpassable road before project site.",2018-05-01,May,2018,
2018-05-01,Const. of Albagan Gym with Stage,Tampakan,CY 2017 20% LDF,69.39,92.11,-22.72,4033389.66,200,11/28/17,6/15/18,,A BARRIENTOS,JAMI CONST. & SUPPLY,On-going,2018-05-01,May,2018,
2018-05-01,"Const. of Salway Box Culvert, Brgy. Tablu",Tampakan,9999-Non-Office 5% CF,16.45,61.29,-44.84,2987473.44,135,12/26/17,5/9/18,,A BARRIENTOS,MFN BUILDERS,Suspended,2018-05-01,May,2018,
2018-05-01,"Const. of Day Care Center, Brgy. Poblacion",Tampakan,CY 2017 20% LDF,100,100,0,1190000,90,12/19/17,3/18/18,5/4/18,A BARRIENTOS,"ISULAN ECT CONST. & GEN. MDSE., INC.",Completed,2018-05-01,May,2018,
2018-05-01,"Establishment of Greenhouse for Organic Vegetables Production @ Provincial Grove, Nursery & Demo Farm, Sitio Pedregosa, Brgy. Reyes",Banga,CY 2017 20% LDF 8.7.1.2,77.05,100,-22.95,264308.97,40,9/28/17,11/6/17,,MJ Dauz,TRIPLE Z MDSG. & ELECTRICAL SERVICES,On-going; no activity; MAJOR ISSUES: 1)UNAVAILABILITY OF UV PLASTIC SHEETS 600 MICRONS IN LOCAL MARKET 2)INABILITY OF THE CONTRACTOR TO INSTALL THE SPRINKLER SYSTEM,2018-05-01,May,2018,
2018-05-01,"Establishment of Nursery for Organic Vegetables Production @ Provincial Grove, Nursery & Demo Farm, Sitio Pedregosa, Brgy. Reyes",Banga,CY 2017 20% LDF 8.7.1.1,75.58,100,-24.42,288485.65,40,9/28/17,11/6/17,,MJ Dauz,TRIPLE Z MDSG. & ELECTRICAL SERVICES,On-going; no activity; MAJOR ISSUES: 1)UNAVAILABILITY OF UV PLASTIC SHEETS 600 MICRONS IN LOCAL MARKET 2)INABILITY OF THE CONTRACTOR TO INSTALL THE SPRINKLER SYSTEM,2018-05-01,May,2018,
2018-05-01,Inst. Of Lined Canal along Rang-ay-Lamba Road,Banga,CY 2017 20% LDF,98.11,100,-1.89,1515778.02,70,9/24/17,4/20/18,,MJ Dauz,DAVAO SANTHONY BUILDERS CORP.,On going; MAJOR ISSUES: 1)DELAY DUE TO THE RESTORATION OF WASHED OUT PORTION OF NEWLY INSTALLED LINED CANAL DUE TO FLASH FLOOD,2018-05-01,May,2018,
2018-05-01,"Renovation-Repair of Training Center @ Provincial Scion Grove, Nursery & Demo Farm",Banga,CY 2017 20% LDF,98.51,100,-1.49,1761935.91,100,4/29/00,3/4/18,,MJ Dauz,TRIPLE Z MDSG. & ELECTRICAL SERVICES,On-going; MAJOR ISSUES: 1) INABILITY OF THE CONTRACTOR TO PROVIDE AND MAXIMIZE MANPOWER AND MATERIALS,2018-05-01,May,2018,
2018-05-01,Repair of Lined Canal & Inst. Of Drop Structure @ Sitio Lambukay,Banga,CY 2017 20% LDF,30.9,17.36,13.54,2205000,120,1/2/18,8/7/18,,MJ Dauz,FREDEN CONSTRUCTION,On-going; project resumed,2018-05-01,May,2018,
2018-05-01,Concreting of Lambingi-Lampari Road,Banga,CY 2017 20% LDF,61.19,83.7,-22.51,11988000,140,1/18/18,6/6/18,,MJ Dauz,FREDEN CONSTRUCTION,"On-going; MAJOR ISSUES: 1)DESPITE THE PASSED TEST RESULTS FOR 311, SUCCEEDING POURING ACTIVITIES SHOED OVERSIZED AGGREGATE FOR ITEM 311",2018-05-01,May,2018,
2018-05-01,Const. of Riverbank Protection (Indigenous Materials) & Rechanelling of Waterway @ Brgy. San Miguel,Norala,SEF-212-11.1a,0.53,3.75,-3.22,2692684.72,60,11/1/16,12/30/16,,A SOBREVEGA,ROCKSTONE CONST. SERVICES & SUPPLY,"This project is still suspended as of November 23, 2016 due to water way problem & revision of plans.",2018-05-01,May,2018,
2018-05-01,Conc. Of Poblacion-Simsiman-Matapol Road,Norala,CY 2015 20% LDF,97.65,100,-2.35,11438082.05,230,7/30/17,4/10/18,,A SOBREVEGA,RN BUILDERS & GEN. MDSE.,"On-going; project expired last Apr. 10, 2018",2018-05-01,May,2018,
2018-05-01,Conc. Of Jct. Lopez Jaena-Puti Road,Norala,CY 2017 20% LDF,97.34,100,-2.66,14992780.22,175,11/8/17,5/1/18,,A SOBREVEGA,RN BUILDERS & GEN. MDSE.,On-going,2018-05-01,May,2018,
2018-05-01,Rehabilitation of NDH Water System,Norala,CY 2017 20% LDF,1.48,19.19,-17.71,375786.23,40,12/21/17,1/29/18,,A SOBREVEGA,ROCKSTONE CONST. SERVICES & SUPPLY,"Suspended as of January 9, 2018 due to revision of plan approved  original plan is not suitable on site.",2018-05-01,May,2018,
2018-05-01,Renovation of Lapuz Brgy. Hall,Norala,CY 2017 20% LDF,82.71,100,-17.29,1319000,80,12/19/17,3/8/18,,A SOBREVEGA,"ISULAN ECT CONST. & GEN. MDSE., INC.","This project was already expired last March 9, 2018; Subject for liquidated damages",2018-05-01,May,2018,
2018-05-01,Completion of Gym @ Brgy. Tinago,Norala,CY 2018 CONT. APPROP. GF #318,90.05,100,-9.95,993609.25,60,3/25/18,5/23/18,,A SOBREVEGA,THREE G BUILDERS,On-going; TIME EXTENSION is on process,2018-05-01,May,2018,
2018-05-01,Rehabilitation of Puti Water System,Norala,CY 2018 CONT. APPROP. GF #,3.11,25.7,-22.59,1962026.71,100,4/8/18,7/16/18,,A SOBREVEGA,ROCKSTONE CONST. SERVICES & SUPPLY,On-going,2018-05-01,May,2018,
2018-05-01,Conc. Of Provincial Road Lapus to Brgy. Liberty,Norala,CY 2018 CONT. APPROP. GF #75,6.8,11.17,-4.37,17240000,125,3/29/18,7/31/18,,A SOBREVEGA,FREDEN CONSTRUCTION,"Project suspended as of April 25, 2018 due to road right of way problem",2018-05-01,May,2018,
2018-05-01,"Const. of Stage & Bleacher, Brgy. Plaza, Sajaneba",Sto. Niño,CY 2017 20% LDF,100,100,0,1994000,120,1/18/18,5/17/18,5/17/18,ME Dondiego,FREDEN CONSTRUCTION,Completed,2018-05-01,May,2018,
2018-05-01,Construction of Naci Bridge,Surallah,CY 2015 20% LDF,98.29,100,-1.71,24830790.34,345,1/21/16,12/30/16,,MJ Dauz,CS CONSTRUCTION & SUPPLY,On-going; the contractor has committed to finish the project despite the liquidated damages incurred; MAJOR ISSUE: 1)VERY SLOW CONTRACTOR,2018-05-01,May,2018,
2018-05-01,"Const. of 2-Storey Barangay Hall, Brgy. Little Baguio",Surallah,CY 2017 20% LDF,44.7,61.96,-17.26,2989004.51,145,1/18/18,6/14/18,,ME Dondiego,NIRVANA CONST. & SUPPLIES,On-going,2018-05-01,May,2018,
2018-05-01,Concreting of Tubi-ala Lambontong Road part. Approaching to Malomboy Bridge,Surallah,CY 2017 20% LDF,40.2,83.58,-43.38,8494519.47,140,1/2/18,5/21/18,,ME Dondiego,HEXAMINDZ CORPORATION,On-going,2018-05-01,May,2018,
2018-05-01,Const. of Box Culvert along Tubi-ala-Lambontong Road,Surallah,2016 PDRRMF-IP,0.13,0.13,0,2990518.48,125,4/19/18,8/21/18,,ME Dondiego,FH GOPITEO CONST. & SUPPLY,Project suspended due to change of project location,2018-05-01,May,2018,
2018-05-01,Consreting of Halilan Road,Lake Sebu,CY 2017 20% LDF,75.23,100,-24.77,9980267.35,125,1/18/18,5/22/18,,A SOBREVEGA,ROCKSTONE CONST. SERVICES & SUPPLY,"On-going; project expired last May 22, 2018",2018-05-01,May,2018,
2018-05-01,Const. of Erosion Control @ Hanoon ES,Lake Sebu,2017 Truct Fund PDRRMO,0.27,46.4,-46.13,3992761.71,90,4/10/18,7/8/18,,A SOBREVEGA,NIRVANA CONST. & SUPPLIES,On-going,2018-05-01,May,2018,
2018-05-01,Conc. Of New Dumangas Road (Leading to Ressetlement Area),T'boli,CY 2017 20% LDF,91.97,100,-8.03,4992486.84,155,11/9/17,4/12/18,,MJ Dauz,ROCKSTONE CONST. SERVICES & SUPPLY,On-going; MAJOR ISSUES: 1)VERY SLOW; 2)POOR WORKMANSHIP,2018-05-01,May,2018,
2018-05-01,"Const. of Bridge @ New Dumangas, T'boli-Sitio Roxas",T'boli,CY 2016 CONT. APPROP.,56.5,95.08,-38.58,24961302.94,340,6/25/17,5/30/18,,ME Dondiego,FREDEN CONSTRUCTION,On-going,2018-05-01,May,2018,
2018-05-01,Conc. Of Road Leading to Bakngeb underground River,T'boli,CY 2017 20% LDF,16.05,32.34,-16.29,4995579.03,80,12/25/17,3/14/18,,MJ Dauz,JAMI CONST. & SUPPLY,"Suspended as of Mar. 2, 2018 due to problem with the ROW from Sta. 0+000-Sta. 0+100",2018-05-01,May,2018,
2018-05-01,Concreting of Datal D'lanag-Tudok Road,T'boli,2018 Cont. Appropriation GF #239,6.06,0.71,5.35,19990000,180,4/22/18,10/18/18,,MJ Dauz,FREDEN CONSTRUCTION,On-going,2018-05-01,May,2018,
2018-05-01,Completion of Brgy. Hall @ Brgy. Talcon,T'boli,CY 2017 20% LDF,94.8,91.81,2.99,642138.71,50,4/2/18,5/30/18,,A. DEMETILLO,KING BUILDERS CONST. & SUPPLY,On-going,2018-05-01,May,2018,
2018-05-01,"Construction of Box Culvert along Malu Creek, Sitio Bianan, Brgy. Basag",T'boli,2018 CONT. APPROP. PDRRMF #45,3.38,0.54,2.84,2992000,175,5/21/18,11/11/18,,A. DEMETILLO,FREDEN CONSTRUCTION,On-going,2018-05-01,May,2018,
2018-05-01,"Spring Development & Installation of Level III Water System through Hydraulic Rampump, Sitio Lamumay",T'boli,,0,3.5,-3.5,2425980.27,120,5/21/18,9/17/18,,MJ Dauz,DAVAO SANTHONY BUILDERS CORP.,On-going,2018-05-01,May,2018,
2018-06-01,Construction of Lined Canal Along Upper Klinan - Cannery Rd,Polomolok,CY 2017 CONST. APPROP.,89.69,55.71,33.98,4434321.22,195,1/23/18,8/5/18,,CJ HICBAN,"UNIFIED WORKERS CONST. & DEVELOPMENT MPC, INC.",On-going,2018-06-01,June,2018,
2018-06-01,"Const. of Day Care Center Prk. Faustino, Brgy. Pob",Polomolok,2018 CONT. APPRO. GF#259,73.73,100,-26.27,1192955.89,75,3/27/18,6/10/18,,A. DEMETILLO,JAMI CONST. & SUPPLY,On-going,2018-06-01,June,2018,
2018-06-01,Construction of Sitio El Nama Bridge,Tupi,CY 2016 CONT APPROP. #182-GF,83.76,100,-16.24,4904647.08,220,6/12/16,1/17/17,,A. DEMETILLO,CS CONSTRUCTION & SUPPLY,On-going,2018-06-01,June,2018,
2018-06-01,"Construction of Water System, Acmonan",Tupi,CY 2017 20% LDF,70.65,40.47,30.18,1495000,90,4/19/18,7/17/18,,A DEMETILLO,FREDEN CONSTRUCTION,On-going,2018-06-01,June,2018,
2018-06-01,Conc. Of Nhwy. to Brgy. Concepcion,Koronadal City,CY 2017 20% LDF,87.6,100,-12.4,5919451.68,75,11/28/17,4/16/18,,CJ HICBAN,BETTER WORK CONSTRUCTION,"On-going; project expired last April 16, 2018",2018-06-01,June,2018,
2018-06-01,Construction of 2nd Floor of the Student Dormitory,Koronadal City,CY 2018 Cont. APPROP. GF #211,25.53,47.6,-22.07,2989399.99,90,3/27/18,7/14/18,,CJ HICBAN,MARBEL DYNAMIC BUILDERS,On-going,2018-06-01,June,2018,
2018-06-01,"Refurbishing & Improvement of Provincial Pre-Audit Div. Office, Finance Bldg.",Koronadal City,CY 2016 CONST. APPROP. #228-GF,58.24,51.99,6.25,1041997.26,90,11/22/16,3/15/18,,E SOLATORIO,KING BUILDERS CONST. & SUPPLY,"Suspended as of Feb. 22, 2018 due to the request for revision of the approved plan by the Provincial Accountant & Variation Order",2018-06-01,June,2018,
2018-06-01,"Const. of Bukang Liwayway Bridge/Riverbank Protection, Prk. Artesian, Brgy. San Roque ",Koronadal City,CY 2016 20% LDF,70.54,48.2,22.34,15950503.14,320,12/5/16,12/23/17,,E SOLATORIO,REYDAN BUILDERS,"Project resumed as of June 11, 2018",2018-06-01,June,2018,
2018-06-01,Const. of Perimeter Fence-Firewall @ OPAG,Koronadal City,CY 2017 20% LDF,48.07,1.87,46.2,792000,60,1/10/18,8/20/18,,E SOLATORIO,FREDEN CONSTRUCTION,"Project resumed as of June 22, 2018",2018-06-01,June,2018,
